,Nivell absolut (msnm),Percentatge volum embassat (%),Volum embassat (hm3),PPT
2000-01-01,147.27,50.8,31.02,0.0
2000-01-02,147.27,50.8,31.02,0.0
2000-01-03,147.27,50.8,31.02,0.0
2000-01-04,147.27,50.8,31.02,0.0
2000-01-05,147.28,50.8,31.04,0.0
2000-01-06,147.28,50.8,31.04,0.0
2000-01-07,147.29,50.8,31.06,0.1
2000-01-08,147.29,50.8,31.06,2.0
2000-01-09,147.3,50.9,31.08,3.5
2000-01-10,147.3,50.9,31.08,0.0
2000-01-11,147.31,50.9,31.1,0.0
2000-01-12,147.32,50.9,31.12,0.0
2000-01-13,147.33,51.0,31.14,0.0
2000-01-14,147.33,51.0,31.14,2.4
2000-01-15,147.34,51.0,31.16,11.0
2000-01-16,147.35,51.0,31.19,0.0
2000-01-17,147.36,51.1,31.21,0.0
2000-01-18,147.37,51.1,31.23,0.0
2000-01-19,147.37,51.1,31.23,0.0
2000-01-20,147.37,51.1,31.23,0.0
2000-01-21,147.37,51.1,31.23,0.0
2000-01-22,147.37,51.1,31.23,0.1
2000-01-23,147.37,51.1,31.23,1.0
2000-01-24,147.38,51.1,31.25,0.0
2000-01-25,147.38,51.1,31.25,0.0
2000-01-26,147.38,51.1,31.25,2.2
2000-01-27,147.38,51.1,31.25,1.0
2000-01-28,147.38,51.1,31.25,0.0
2000-01-29,147.39,51.2,31.27,0.0
2000-01-30,147.39,51.2,31.27,0.0
2000-01-31,147.39,51.2,31.27,0.0
2000-02-01,147.39,51.2,31.27,0.0
2000-02-02,147.39,51.2,31.27,1.1
2000-02-03,147.39,51.2,31.27,0.0
2000-02-04,147.4,51.2,31.29,0.0
2000-02-05,147.4,51.2,31.29,0.0
2000-02-06,147.4,51.2,31.29,0.0
2000-02-07,147.4,51.2,31.29,0.0
2000-02-08,147.4,51.2,31.29,0.0
2000-02-09,147.4,51.2,31.29,0.0
2000-02-10,147.41,51.3,31.31,0.0
2000-02-11,147.41,51.3,31.31,0.0
2000-02-12,147.41,51.3,31.31,0.0
2000-02-13,147.41,51.3,31.31,0.0
2000-02-14,147.41,51.3,31.31,0.1
2000-02-15,147.41,51.3,31.31,0.0
2000-02-16,147.41,51.3,31.31,1.4
2000-02-17,147.41,51.3,31.31,9.1
2000-02-18,147.43,51.3,31.36,0.0
2000-02-19,147.43,51.3,31.36,0.0
2000-02-20,147.43,51.3,31.36,0.0
2000-02-21,147.43,51.3,31.36,0.0
2000-02-22,147.43,51.3,31.36,0.0
2000-02-23,147.43,51.3,31.36,0.0
2000-02-24,147.43,51.3,31.36,0.0
2000-02-25,147.43,51.3,31.36,0.0
2000-02-26,147.43,51.3,31.36,0.0
2000-02-27,147.43,51.3,31.36,0.0
2000-02-28,147.42,51.3,31.34,0.0
2000-02-29,147.43,51.3,31.36,0.0
2000-03-01,147.43,51.3,31.36,0.9
2000-03-02,147.43,51.3,31.36,0.3
2000-03-03,147.43,51.3,31.36,0.0
2000-03-04,147.42,51.3,31.34,0.0
2000-03-05,147.42,51.3,31.34,0.0
2000-03-06,147.42,51.3,31.34,0.0
2000-03-07,147.42,51.3,31.34,0.0
2000-03-08,147.42,51.3,31.34,0.0
2000-03-09,147.42,51.3,31.34,0.0
2000-03-10,147.42,51.3,31.34,0.0
2000-03-11,147.42,51.3,31.34,0.0
2000-03-12,147.42,51.3,31.34,0.0
2000-03-13,147.41,51.3,31.31,0.0
2000-03-14,147.41,51.3,31.31,0.0
2000-03-15,147.41,51.3,31.31,0.0
2000-03-16,147.41,51.3,31.31,0.0
2000-03-17,147.39,51.2,31.27,0.0
2000-03-18,147.38,51.1,31.25,0.0
2000-03-19,147.37,51.1,31.23,0.0
2000-03-20,147.36,51.1,31.21,0.0
2000-03-21,147.36,51.1,31.21,1.9
2000-03-22,147.36,51.1,31.21,0.0
2000-03-23,147.36,51.1,31.21,4.5
2000-03-24,147.36,51.1,31.21,1.2
2000-03-25,147.34,51.0,31.16,8.6
2000-03-26,147.33,51.0,31.14,10.8
2000-03-27,147.33,51.0,31.14,15.2
2000-03-28,147.32,50.9,31.12,0.0
2000-03-29,147.35,51.0,31.19,3.9
2000-03-30,147.36,51.1,31.21,0.0
2000-03-31,147.38,51.1,31.25,6.8
2000-04-01,147.4,51.2,31.29,0.0
2000-04-02,147.41,51.3,31.31,5.8
2000-04-03,147.43,51.3,31.36,0.0
2000-04-04,147.47,51.5,31.44,0.0
2000-04-05,147.5,51.6,31.51,0.0
2000-04-06,147.54,51.7,31.59,0.0
2000-04-07,147.59,51.9,31.7,0.0
2000-04-08,147.64,52.1,31.81,0.0
2000-04-09,147.68,52.2,31.9,0.0
2000-04-10,147.7,52.3,31.94,6.5
2000-04-11,147.74,52.4,32.02,4.2
2000-04-12,147.79,52.6,32.13,0.0
2000-04-13,147.84,52.8,32.24,0.0
2000-04-14,147.87,52.9,32.31,0.0
2000-04-15,147.89,52.9,32.35,0.0
2000-04-16,147.9,53.0,32.37,0.0
2000-04-17,147.94,53.1,32.46,1.2
2000-04-18,147.97,53.2,32.53,2.8
2000-04-19,147.99,53.3,32.57,0.0
2000-04-20,148.01,53.4,32.61,0.0
2000-04-21,148.02,53.4,32.64,0.0
2000-04-22,148.04,53.5,32.68,0.0
2000-04-23,148.05,53.5,32.7,12.1
2000-04-24,148.06,53.6,32.72,0.0
2000-04-25,148.08,53.6,32.77,0.0
2000-04-26,148.1,53.7,32.81,0.0
2000-04-27,148.1,53.7,32.81,2.4
2000-04-28,148.11,53.7,32.83,1.2
2000-04-29,148.12,53.8,32.86,0.0
2000-04-30,148.14,53.8,32.9,0.0
2000-05-01,148.15,53.9,32.92,0.0
2000-05-02,148.16,53.9,32.94,0.0
2000-05-03,148.17,54.0,32.97,0.0
2000-05-04,148.17,54.0,32.97,0.0
2000-05-05,148.18,54.0,32.99,0.0
2000-05-06,148.18,54.0,32.99,0.0
2000-05-07,148.19,54.0,33.01,0.0
2000-05-08,148.19,54.0,33.01,0.0
2000-05-09,148.19,54.0,33.01,1.6
2000-05-10,148.2,54.1,33.03,18.3
2000-05-11,148.3,54.4,33.26,0.1
2000-05-12,148.39,54.8,33.46,0.0
2000-05-13,148.45,55.0,33.59,0.1
2000-05-14,148.47,55.0,33.64,0.0
2000-05-15,148.5,55.2,33.7,0.0
2000-05-16,148.51,55.2,33.72,0.0
2000-05-17,148.51,55.2,33.72,5.7
2000-05-18,148.52,55.2,33.75,0.1
2000-05-19,148.53,55.3,33.77,0.0
2000-05-20,148.52,55.2,33.75,0.0
2000-05-21,148.52,55.2,33.75,0.0
2000-05-22,148.52,55.2,33.75,0.8
2000-05-23,148.52,55.2,33.75,0.0
2000-05-24,148.52,55.2,33.75,0.0
2000-05-25,148.52,55.2,33.75,0.0
2000-05-26,148.52,55.2,33.75,11.3
2000-05-27,148.56,55.4,33.84,18.1
2000-05-28,148.57,55.4,33.86,0.1
2000-05-29,148.58,55.5,33.88,0.0
2000-05-30,148.58,55.5,33.88,0.0
2000-05-31,148.59,55.5,33.9,0.0
2000-06-01,148.6,55.5,33.93,0.0
2000-06-02,148.59,55.5,33.9,0.0
2000-06-03,148.57,55.4,33.86,0.0
2000-06-04,148.55,55.3,33.82,0.0
2000-06-05,148.54,55.3,33.79,8.9
2000-06-06,148.52,55.2,33.75,0.3
2000-06-07,148.48,55.1,33.66,0.0
2000-06-08,148.44,54.9,33.57,0.0
2000-06-09,148.37,54.7,33.41,0.0
2000-06-10,148.3,54.4,33.26,48.1
2000-06-11,148.44,54.9,33.57,3.0
2000-06-12,148.55,55.3,33.82,0.0
2000-06-13,148.6,55.5,33.93,0.8
2000-06-14,148.64,55.7,34.02,7.6
2000-06-15,148.66,55.8,34.06,0.0
2000-06-16,148.68,55.8,34.11,0.0
2000-06-17,148.7,55.9,34.16,0.0
2000-06-18,148.7,55.9,34.16,0.0
2000-06-19,148.7,55.9,34.16,0.0
2000-06-20,148.68,55.8,34.11,0.0
2000-06-21,148.64,55.7,34.02,0.0
2000-06-22,148.57,55.4,33.86,0.0
2000-06-23,148.49,55.1,33.68,0.0
2000-06-24,148.4,54.8,33.48,0.0
2000-06-25,148.31,54.5,33.28,0.0
2000-06-26,148.21,54.1,33.06,0.3
2000-06-27,148.1,53.7,32.81,0.0
2000-06-28,147.99,53.3,32.57,0.3
2000-06-29,147.86,52.8,32.29,0.0
2000-06-30,147.75,52.5,32.05,0.1
2000-07-01,147.61,52.0,31.74,0.0
2000-07-02,147.5,51.6,31.51,0.0
2000-07-03,147.35,51.0,31.19,0.0
2000-07-04,147.25,50.7,30.97,0.0
2000-07-05,147.09,50.1,30.63,0.0
2000-07-06,146.98,49.8,30.4,0.0
2000-07-07,146.78,49.1,29.98,0.0
2000-07-08,146.66,48.7,29.73,0.0
2000-07-09,146.5,48.1,29.4,0.0
2000-07-10,146.39,47.8,29.18,16.0
2000-07-11,146.23,47.2,28.85,7.9
2000-07-12,146.11,46.8,28.6,0.0
2000-07-13,146.01,46.5,28.4,0.0
2000-07-14,145.91,46.2,28.2,0.0
2000-07-15,145.81,45.8,28.0,0.0
2000-07-16,145.71,45.5,27.8,0.0
2000-07-17,145.61,45.2,27.6,0.0
2000-07-18,145.5,44.8,27.38,0.0
2000-07-19,145.38,44.4,27.14,4.3
2000-07-20,145.25,44.0,26.88,0.0
2000-07-21,145.12,43.6,26.62,0.0
2000-07-22,144.98,43.1,26.34,0.0
2000-07-23,144.85,42.7,26.09,2.6
2000-07-24,144.7,42.2,25.8,0.0
2000-07-25,144.56,41.8,25.53,0.0
2000-07-26,144.42,41.3,25.26,0.0
2000-07-27,144.27,40.9,24.98,0.0
2000-07-28,144.08,40.3,24.63,11.2
2000-07-29,143.92,39.8,24.34,0.0
2000-07-30,143.79,39.4,24.1,0.0
2000-07-31,143.62,38.9,23.79,0.0
2000-08-01,143.46,38.5,23.5,0.0
2000-08-02,143.29,38.0,23.2,0.0
2000-08-03,143.17,37.6,22.98,0.3
2000-08-04,143.02,37.2,22.71,0.0
2000-08-05,142.86,36.7,22.42,0.0
2000-08-06,142.7,36.2,22.14,0.0
2000-08-07,142.56,35.8,21.9,0.0
2000-08-08,142.41,35.4,21.64,0.0
2000-08-09,142.27,35.0,21.4,0.0
2000-08-10,142.1,34.6,21.12,0.0
2000-08-11,141.93,34.1,20.84,0.0
2000-08-12,141.75,33.6,20.54,0.2
2000-08-13,141.59,33.2,20.28,0.0
2000-08-14,141.41,32.7,19.99,0.0
2000-08-15,141.25,32.3,19.73,0.0
2000-08-16,141.09,31.9,19.48,0.0
2000-08-17,140.94,31.5,19.24,0.0
2000-08-18,140.78,31.1,18.99,0.0
2000-08-19,140.62,30.7,18.74,0.0
2000-08-20,140.49,30.3,18.53,0.0
2000-08-21,140.34,30.0,18.31,0.2
2000-08-22,140.2,29.6,18.1,0.0
2000-08-23,140.05,29.3,17.87,0.1
2000-08-24,139.9,28.9,17.65,0.1
2000-08-25,139.77,28.6,17.46,0.2
2000-08-26,139.63,28.2,17.26,0.0
2000-08-27,139.48,27.9,17.03,0.0
2000-08-28,139.36,27.6,16.84,0.0
2000-08-29,139.31,27.4,16.73,0.0
2000-08-30,139.19,27.2,16.61,10.3
2000-08-31,139.15,27.1,16.56,6.4
2000-09-01,139.07,26.9,16.44,0.0
2000-09-02,139.03,26.8,16.38,0.0
2000-09-03,138.97,26.7,16.3,0.0
2000-09-04,138.92,26.6,16.23,0.0
2000-09-05,138.9,26.5,16.2,0.0
2000-09-06,138.83,26.4,16.1,0.0
2000-09-07,138.78,26.2,16.03,0.0
2000-09-08,138.77,26.2,16.02,0.0
2000-09-09,138.67,26.0,15.88,0.0
2000-09-10,138.61,25.9,15.8,0.0
2000-09-11,138.6,25.8,15.78,0.0
2000-09-12,138.53,25.7,15.68,0.3
2000-09-13,138.51,25.6,15.66,0.0
2000-09-14,138.46,25.5,15.59,0.0
2000-09-15,138.44,25.5,15.56,0.0
2000-09-16,138.37,25.3,15.47,0.0
2000-09-17,138.36,25.3,15.45,0.0
2000-09-18,138.3,25.2,15.37,1.0
2000-09-19,138.29,25.1,15.36,29.8
2000-09-20,138.28,25.1,15.34,9.2
2000-09-21,138.29,25.1,15.36,0.0
2000-09-22,138.24,25.0,15.29,0.0
2000-09-23,138.23,25.0,15.28,0.0
2000-09-24,138.2,24.9,15.24,0.0
2000-09-25,138.15,24.8,15.17,0.0
2000-09-26,138.1,24.7,15.1,0.0
2000-09-27,138.05,24.6,15.04,0.0
2000-09-28,138.01,24.5,14.98,5.4
2000-09-29,137.98,24.5,14.94,0.5
2000-09-30,137.95,24.4,14.9,3.1
2000-10-01,137.92,24.3,14.86,0.0
2000-10-02,137.9,24.3,14.84,0.1
2000-10-03,137.87,24.2,14.8,0.0
2000-10-04,137.84,24.2,14.76,0.0
2000-10-05,137.81,24.1,14.72,0.0
2000-10-06,137.79,24.0,14.69,0.0
2000-10-07,137.76,24.0,14.65,0.0
2000-10-08,137.73,23.9,14.61,0.0
2000-10-09,137.7,23.9,14.58,0.0
2000-10-10,137.67,23.8,14.54,1.8
2000-10-11,137.64,23.7,14.5,6.6
2000-10-12,137.61,23.7,14.46,0.0
2000-10-13,137.58,23.6,14.42,2.4
2000-10-14,137.55,23.5,14.38,0.0
2000-10-15,137.56,23.6,14.39,17.8
2000-10-16,137.56,23.6,14.39,1.1
2000-10-17,137.55,23.5,14.38,0.0
2000-10-18,137.54,23.5,14.37,0.0
2000-10-19,137.53,23.5,14.35,0.0
2000-10-20,137.52,23.5,14.34,12.6
2000-10-21,137.58,23.6,14.42,0.1
2000-10-22,137.76,24.0,14.65,2.1
2000-10-23,137.95,24.4,14.9,1.6
2000-10-24,138.27,25.1,15.33,0.0
2000-10-25,138.47,25.5,15.6,0.1
2000-10-26,138.56,25.7,15.73,0.0
2000-10-27,138.61,25.9,15.8,0.0
2000-10-28,138.64,25.9,15.83,0.1
2000-10-29,138.66,26.0,15.86,0.0
2000-10-30,138.67,26.0,15.88,0.0
2000-10-31,138.68,26.0,15.89,1.7
2000-11-01,138.68,26.0,15.89,0.0
2000-11-02,138.68,26.0,15.89,0.0
2000-11-03,138.69,26.0,15.91,2.8
2000-11-04,138.69,26.0,15.91,0.0
2000-11-05,138.68,26.0,15.89,0.0
2000-11-06,138.68,26.0,15.89,3.4
2000-11-07,138.68,26.0,15.89,1.7
2000-11-08,138.68,26.0,15.89,0.0
2000-11-09,138.68,26.0,15.89,0.0
2000-11-10,138.68,26.0,15.89,0.1
2000-11-11,138.68,26.0,15.89,0.0
2000-11-12,138.68,26.0,15.89,0.0
2000-11-13,138.68,26.0,15.89,2.8
2000-11-14,138.68,26.0,15.89,4.1
2000-11-15,138.68,26.0,15.89,0.0
2000-11-16,138.68,26.0,15.89,0.0
2000-11-17,138.68,26.0,15.89,0.0
2000-11-18,138.67,26.0,15.88,0.0
2000-11-19,138.66,26.0,15.86,0.0
2000-11-20,138.66,26.0,15.86,0.8
2000-11-21,138.66,26.0,15.86,0.0
2000-11-22,138.65,25.9,15.85,0.0
2000-11-23,138.65,25.9,15.85,5.9
2000-11-24,138.65,25.9,15.85,0.1
2000-11-25,138.65,25.9,15.85,0.0
2000-11-26,138.65,25.9,15.85,5.9
2000-11-27,138.65,25.9,15.85,3.7
2000-11-28,138.66,26.0,15.86,0.2
2000-11-29,138.66,26.0,15.86,11.2
2000-11-30,138.72,26.1,15.95,20.0
2000-12-01,138.78,26.2,16.03,0.0
2000-12-02,138.81,26.3,16.07,0.9
2000-12-03,138.84,26.4,16.12,0.6
2000-12-04,138.86,26.4,16.14,0.2
2000-12-05,138.88,26.5,16.17,0.0
2000-12-06,138.9,26.5,16.2,0.3
2000-12-07,138.91,26.5,16.21,0.1
2000-12-08,138.93,26.6,16.24,0.0
2000-12-09,138.94,26.6,16.26,0.0
2000-12-10,138.95,26.6,16.27,0.0
2000-12-11,138.96,26.7,16.28,0.0
2000-12-12,138.96,26.7,16.28,0.0
2000-12-13,138.96,26.7,16.28,0.1
2000-12-14,138.96,26.7,16.28,0.0
2000-12-15,138.97,26.7,16.3,6.3
2000-12-16,138.98,26.7,16.31,0.0
2000-12-17,138.98,26.7,16.31,0.0
2000-12-18,138.98,26.7,16.31,0.0
2000-12-19,138.98,26.7,16.31,0.1
2000-12-20,138.98,26.7,16.31,2.2
2000-12-21,139.0,26.7,16.34,16.7
2000-12-22,139.35,27.6,16.84,0.0
2000-12-23,145.0,43.2,26.38,0.0
2000-12-24,149.23,57.9,35.38,0.0
2000-12-25,150.2,61.7,37.68,0.0
2000-12-26,150.69,63.6,38.88,0.0
2000-12-27,150.96,64.7,39.56,0.0
2000-12-28,151.16,65.6,40.06,0.0
2000-12-29,151.3,66.1,40.42,0.0
2000-12-30,151.41,66.6,40.7,0.0
2000-12-31,151.48,66.9,40.88,0.4
2001-01-01,151.55,67.2,41.06,0.0
2001-01-02,151.61,67.5,41.21,0.0
2001-01-03,151.67,67.7,41.37,0.0
2001-01-04,151.72,67.9,41.5,0.0
2001-01-05,151.76,68.1,41.6,0.0
2001-01-06,151.81,68.3,41.73,2.3
2001-01-07,151.85,68.5,41.84,3.9
2001-01-08,151.89,68.6,41.94,0.1
2001-01-09,151.92,68.8,42.02,0.1
2001-01-10,151.96,68.9,42.12,0.3
2001-01-11,151.96,68.9,42.12,0.1
2001-01-12,151.99,69.1,42.2,7.0
2001-01-13,152.09,69.5,42.47,5.0
2001-01-14,152.25,70.2,42.89,11.2
2001-01-15,152.51,71.3,43.59,24.0
2001-01-16,153.05,73.8,45.08,37.5
2001-01-17,153.87,77.6,47.39,0.1
2001-01-18,154.22,79.2,48.4,0.0
2001-01-19,154.19,79.1,48.32,0.2
2001-01-20,154.09,78.6,48.03,0.0
2001-01-21,153.92,77.8,47.54,0.0
2001-01-22,153.73,76.9,47.0,0.0
2001-01-23,153.5,75.8,46.34,0.0
2001-01-24,153.34,75.1,45.89,0.0
2001-01-25,153.3,74.9,45.78,0.0
2001-01-26,153.26,74.7,45.66,0.0
2001-01-27,153.21,74.5,45.52,0.0
2001-01-28,153.14,74.2,45.33,16.7
2001-01-29,153.11,74.0,45.24,3.4
2001-01-30,153.08,73.9,45.16,0.1
2001-01-31,153.02,73.6,44.99,0.3
2001-02-01,152.96,73.4,44.83,1.6
2001-02-02,152.9,73.1,44.66,0.0
2001-02-03,152.83,72.8,44.46,0.0
2001-02-04,152.75,72.4,44.24,0.0
2001-02-05,152.68,72.1,44.05,0.0
2001-02-06,152.63,71.9,43.92,0.0
2001-02-07,152.6,71.7,43.83,0.0
2001-02-08,152.58,71.7,43.78,1.4
2001-02-09,152.56,71.6,43.73,0.0
2001-02-10,152.53,71.4,43.64,0.0
2001-02-11,152.5,71.3,43.56,0.0
2001-02-12,152.46,71.1,43.46,0.0
2001-02-13,152.49,71.3,43.54,0.0
2001-02-14,152.52,71.4,43.62,12.4
2001-02-15,152.57,71.6,43.75,2.9
2001-02-16,152.61,71.8,43.86,0.0
2001-02-17,152.65,72.0,43.97,0.0
2001-02-18,152.69,72.1,44.08,0.0
2001-02-19,152.72,72.3,44.16,0.0
2001-02-20,152.75,72.4,44.24,0.0
2001-02-21,152.77,72.5,44.3,0.0
2001-02-22,152.8,72.6,44.38,0.0
2001-02-23,152.83,72.8,44.46,0.0
2001-02-24,152.85,72.9,44.52,0.0
2001-02-25,152.87,73.0,44.58,0.0
2001-02-26,152.89,73.0,44.63,0.0
2001-02-27,152.91,73.1,44.69,0.9
2001-02-28,152.93,73.2,44.74,0.1
2001-03-01,152.95,73.3,44.8,0.0
2001-03-02,152.97,73.4,44.85,0.7
2001-03-03,152.99,73.5,44.91,0.0
2001-03-04,153.01,73.6,44.96,0.0
2001-03-05,153.03,73.7,45.02,0.7
2001-03-06,153.05,73.8,45.08,0.1
2001-03-07,153.06,73.8,45.1,0.2
2001-03-08,153.09,74.0,45.19,16.1
2001-03-09,153.11,74.0,45.24,0.0
2001-03-10,153.15,74.2,45.36,7.1
2001-03-11,153.18,74.4,45.44,0.1
2001-03-12,153.21,74.5,45.52,11.1
2001-03-13,153.32,75.0,45.83,0.5
2001-03-14,153.46,75.7,46.23,0.0
2001-03-15,153.55,76.1,46.48,0.0
2001-03-16,153.61,76.4,46.65,0.8
2001-03-17,153.66,76.6,46.8,1.1
2001-03-18,153.69,76.7,46.88,0.0
2001-03-19,153.72,76.9,46.97,0.0
2001-03-20,153.76,77.1,47.08,0.0
2001-03-21,153.79,77.2,47.17,0.0
2001-03-22,153.81,77.3,47.22,0.0
2001-03-23,153.84,77.4,47.31,0.0
2001-03-24,153.86,77.5,47.37,0.0
2001-03-25,153.88,77.6,47.42,23.8
2001-03-26,153.95,77.9,47.62,3.8
2001-03-27,154.01,78.2,47.8,10.0
2001-03-28,154.09,78.6,48.03,1.5
2001-03-29,154.16,78.9,48.23,3.6
2001-03-30,154.23,79.3,48.43,0.2
2001-03-31,154.29,79.5,48.6,0.0
2001-04-01,154.35,79.8,48.78,0.0
2001-04-02,154.35,79.8,48.78,0.0
2001-04-03,154.35,79.8,48.78,0.0
2001-04-04,154.37,79.9,48.84,3.0
2001-04-05,154.39,80.0,48.9,0.0
2001-04-06,154.43,80.2,49.01,0.0
2001-04-07,154.47,80.4,49.13,9.1
2001-04-08,154.5,80.6,49.22,0.0
2001-04-09,154.51,80.6,49.25,0.0
2001-04-10,154.52,80.7,49.28,0.0
2001-04-11,154.52,80.7,49.28,0.0
2001-04-12,154.53,80.7,49.31,0.1
2001-04-13,154.53,80.7,49.31,0.0
2001-04-14,154.54,80.7,49.34,0.0
2001-04-15,154.55,80.8,49.37,0.0
2001-04-16,154.56,80.8,49.4,0.0
2001-04-17,154.56,80.8,49.4,0.2
2001-04-18,154.55,80.8,49.37,0.0
2001-04-19,154.55,80.8,49.37,5.1
2001-04-20,154.55,80.8,49.37,1.7
2001-04-21,154.54,80.7,49.34,1.2
2001-04-22,154.54,80.7,49.34,0.0
2001-04-23,154.54,80.7,49.34,0.0
2001-04-24,154.55,80.8,49.37,0.0
2001-04-25,154.57,80.9,49.43,0.0
2001-04-26,154.56,80.8,49.4,0.0
2001-04-27,154.54,80.7,49.34,0.0
2001-04-28,154.52,80.7,49.28,0.0
2001-04-29,154.51,80.6,49.25,0.0
2001-04-30,154.51,80.6,49.25,7.3
2001-05-01,154.51,80.6,49.25,8.7
2001-05-02,154.52,80.7,49.28,1.0
2001-05-03,154.54,80.7,49.34,22.6
2001-05-04,154.57,80.9,49.43,0.0
2001-05-05,154.59,81.0,49.48,0.2
2001-05-06,154.6,81.0,49.51,0.1
2001-05-07,154.61,81.1,49.54,0.0
2001-05-08,154.61,81.1,49.54,0.0
2001-05-09,154.61,81.1,49.54,0.0
2001-05-10,154.61,81.1,49.54,0.1
2001-05-11,154.61,81.1,49.54,0.0
2001-05-12,154.59,81.0,49.48,0.0
2001-05-13,154.59,81.0,49.48,0.0
2001-05-14,154.59,81.0,49.48,0.0
2001-05-15,154.58,80.9,49.46,0.0
2001-05-16,154.57,80.9,49.43,0.0
2001-05-17,154.54,80.7,49.34,16.0
2001-05-18,154.51,80.6,49.25,0.0
2001-05-19,154.52,80.7,49.28,0.0
2001-05-20,154.51,80.6,49.25,0.0
2001-05-21,154.51,80.6,49.25,2.2
2001-05-22,154.5,80.6,49.22,0.0
2001-05-23,154.5,80.6,49.22,5.9
2001-05-24,154.51,80.6,49.25,0.0
2001-05-25,154.56,80.8,49.4,0.0
2001-05-26,154.59,81.0,49.48,0.0
2001-05-27,154.58,80.9,49.46,0.0
2001-05-28,154.58,80.9,49.46,0.0
2001-05-29,154.51,80.6,49.25,0.0
2001-05-30,154.49,80.5,49.19,0.0
2001-05-31,154.43,80.2,49.01,0.0
2001-06-01,154.37,79.9,48.84,0.0
2001-06-02,154.29,79.5,48.6,0.0
2001-06-03,154.21,79.2,48.37,0.0
2001-06-04,154.12,78.7,48.11,0.0
2001-06-05,154.05,78.4,47.91,0.0
2001-06-06,153.94,77.9,47.6,1.0
2001-06-07,153.85,77.5,47.34,0.0
2001-06-08,153.76,77.1,47.08,0.1
2001-06-09,153.68,76.7,46.85,0.0
2001-06-10,153.59,76.3,46.6,7.2
2001-06-11,153.5,75.8,46.34,0.0
2001-06-12,153.4,75.4,46.06,0.0
2001-06-13,153.29,74.9,45.75,0.0
2001-06-14,153.18,74.4,45.44,0.0
2001-06-15,153.07,73.9,45.13,0.0
2001-06-16,152.96,73.4,44.83,0.0
2001-06-17,152.87,73.0,44.58,0.2
2001-06-18,152.8,72.6,44.38,0.0
2001-06-19,152.68,72.1,44.05,0.0
2001-06-20,152.54,71.5,43.67,0.0
2001-06-21,152.41,70.9,43.32,0.0
2001-06-22,152.28,70.3,42.97,0.0
2001-06-23,152.14,69.7,42.6,0.0
2001-06-24,152.0,69.1,42.23,0.0
2001-06-25,151.87,68.6,41.89,0.0
2001-06-26,151.73,68.0,41.52,0.0
2001-06-27,151.59,67.4,41.16,0.3
2001-06-28,151.45,66.8,40.8,0.0
2001-06-29,151.29,66.1,40.39,0.0
2001-06-30,151.14,65.5,40.01,0.0
2001-07-01,150.99,64.9,39.63,0.0
2001-07-02,150.89,64.5,39.38,0.0
2001-07-03,150.74,63.8,39.01,0.5
2001-07-04,150.6,63.3,38.66,0.1
2001-07-05,150.46,62.7,38.31,0.6
2001-07-06,150.32,62.1,37.97,0.0
2001-07-07,150.17,61.5,37.61,0.0
2001-07-08,150.03,61.0,37.27,2.0
2001-07-09,149.89,60.4,36.93,0.4
2001-07-10,149.75,59.9,36.6,0.0
2001-07-11,149.6,59.3,36.24,0.0
2001-07-12,149.45,58.7,35.89,0.0
2001-07-13,149.3,58.2,35.54,0.0
2001-07-14,149.15,57.6,35.19,8.7
2001-07-15,149.07,57.3,35.0,23.3
2001-07-16,149.01,57.1,34.86,0.0
2001-07-17,148.96,56.9,34.75,0.0
2001-07-18,148.9,56.6,34.61,0.0
2001-07-19,148.83,56.4,34.45,7.8
2001-07-20,148.78,56.2,34.34,0.1
2001-07-21,148.73,56.0,34.22,0.0
2001-07-22,148.7,55.9,34.16,0.0
2001-07-23,148.65,55.7,34.04,0.0
2001-07-24,148.52,55.2,33.75,0.0
2001-07-25,148.39,54.8,33.46,0.0
2001-07-26,148.24,54.2,33.12,0.0
2001-07-27,148.07,53.6,32.75,0.0
2001-07-28,147.89,52.9,32.35,0.2
2001-07-29,147.75,52.5,32.05,0.0
2001-07-30,147.58,51.8,31.68,0.0
2001-07-31,147.41,51.3,31.31,0.0
2001-08-01,147.24,50.7,30.95,0.0
2001-08-02,147.06,50.0,30.57,0.0
2001-08-03,146.88,49.4,30.19,0.0
2001-08-04,146.71,48.8,29.84,0.0
2001-08-05,146.54,48.3,29.49,0.0
2001-08-06,146.37,47.7,29.14,0.0
2001-08-07,146.19,47.1,28.77,0.0
2001-08-08,146.01,46.5,28.4,0.0
2001-08-09,145.85,46.0,28.08,0.0
2001-08-10,145.67,45.4,27.72,0.0
2001-08-11,145.5,44.8,27.38,0.0
2001-08-12,145.35,44.3,27.08,0.0
2001-08-13,145.21,43.9,26.8,0.0
2001-08-14,145.06,43.4,26.5,0.0
2001-08-15,144.9,42.9,26.18,0.2
2001-08-16,144.75,42.4,25.89,0.0
2001-08-17,144.58,41.8,25.56,0.0
2001-08-18,144.27,40.9,24.98,2.2
2001-08-19,144.18,40.6,24.81,0.1
2001-08-20,144.09,40.3,24.65,0.0
2001-08-21,144.04,40.2,24.56,0.0
2001-08-22,143.91,39.8,24.32,0.0
2001-08-23,143.78,39.4,24.08,0.0
2001-08-24,143.65,39.0,23.85,0.0
2001-08-25,143.52,38.6,23.61,0.0
2001-08-26,143.42,38.3,23.43,0.0
2001-08-27,143.31,38.0,23.23,0.0
2001-08-28,143.21,37.7,23.05,0.0
